"course","section","semester","size","max","time","tag","dept","dept2","dept3","dept4","description"
"A World of Evidence","01","F22",9,20,"Tuesday/Thursday | 3:00 PM - 5:00 PM",306,"ARCH","ARHA","BLST","EUST","This upper-level seminar will teach students how to conduct research on race and racism in the field of architectural studies. 
  Throughout the semester, we will visit Amherst College Special Collections as well as several local archives to explore the letters, photographs, drawings, and ground plans that relate to the architecture of race, racism, and social change in the region. Then, we will visit the buildings and spaces that these records address. 
  In the process, we will ask several questions: What can the local historical record tell us about the history of architecture and race at Amherst College and in Western Massachusetts at large? What is missing from local archives? Why do these omissions matter and how should we respond to them? Recognizing the sensitivity of these questions, we will think through what it means to conduct research on topics of political, moral, cultural, and interpersonal significance. 
  Readings and course discussions will examine how other architectural historians have tackled controversies of race and racism in their work. Guest lectures will also introduce students to the intellectual and personal journeys of the diverse range of scholars who are working on these issues today. Overall, the goal of this class is for students to gain an understanding of how to conduct architectural research with the aid of historical documents, building remnants, and altered cultural landscapes. 
  At the end of the semester, students will complete a final research paper."
"Acting/Directing Studio","01","F22",9,0,"Tuesday/Thursday | 1:00 PM - 2:20 PM",340,"THDA",NA,NA,NA,"This is a studio course in collaboration leading to completed theatrical creations. Students produce a portfolio of short projects, using published text or through rehearsal devising. Readings, writing, and class discussion are devoted to the shared practices of acting and directing, and to individual problems and approaches. Topics include the articulation of artistic vision, advanced textual analysis, and the use of space, sound and light. Studio exercises are employed to support relevant techniques. In addition, applicable organizational and research methods will be employed. When possible, students may collaborate with others enrolled in a related course in design. Two class meetings per week. Students should expect to schedule a significant amount of rehearsal time outside of class meetings for the successful completion of projects."
"Action and Character","01","F22",18,20,"Monday/Wednesday | 2:00 PM - 4:00 PM",113,"THDA",NA,NA,NA,"A first college-level course in the fundamentals of acting, with an emphasis on the connections between dramatic action and character. Students learn how to analyze dramatic texts and bring them to life through a collaborative process, and by using body, voice and imagination. Classwork includes regular exercises designed to develop acting craft. Homework includes memorization, regular rehearsals and relevant reading, alongside practical research and short writing in various modes. Assignments progress toward realizing performed scenes. In addition to two two-hour class meetings per week, students participate in the equivalent of a two-hour per week laboratory experience coordinated with the department's production season."
"Adaptation & Organism","01","F22",61,0,"Monday/Wednesday/Friday | 10:00 AM - 10:50 AM",181,"BIOL",NA,NA,NA,"An introduction to the evolution, ecology, and behavior of organisms and how these relate to the diversity of life. Following a discussion of the core components of evolutionary theory, we'll examine how evolutionary processes have shaped morphological, anatomical, physiological, and behavioral adaptations in organisms that solve many of life's problems, ranging from how to find or acquire food and avoid being eaten, to how to attract and locate mates, and how to optimize reproduction throughout a lifetime. We'll relate and compare characteristics of animals, plants, fungi, protists, and bacteria, examining how and why these organisms have arrived at various solutions to life's problems. Laboratory exercises will complement lectures and will involve field experiments on natural selection and laboratory studies of vertebrates, invertebrates and plants. Four classroom hours and three laboratory hours per week."
"Adv Studio Seminar","01","F22",5,5,"Monday/Wednesday | 9:00 AM - 11:00 AM",323,"ARHA",NA,NA,NA,"A studio course that will emphasize compositional development by working from memory, imagination, literature and abstractions derived from nature and other works of visual art. The Students will be encouraged to explore a wide variety of media including, but not limited to, drawing, painting, printmaking, sculpture and collage. Students will be required to create an independent body of work over the course of the semester which explores their individual direction in pictorial construction."
"Advanced Data Analysis","01","F22",18,20,"Monday/Wednesday/Friday | 9:00 AM - 9:50 AM",495,"STAT",NA,NA,NA,"Our world is awash in data. To allow decisions to be made based on evidence, there is a need for statisticians to be able to make sense of the data around us and communicate their findings. In this course, students will be exposed to advanced statistical methods and will undertake the analysis and interpretation of complex and real-world datasets that go beyond textbook problems. Course topics will vary from year to year depending on the instructor and selected case studies but will include static and dynamic visualization techniques to summarize and display high dimensional data, advanced topics in design and linear regression, ethics, and selected topics in data mining. Other topics may vary but might include nonparametric analysis, spatial data, and analysis of network data. Through a series of case studies, students will develop the capacity to think and compute with data, undertake and assess analyses, and effectively communicate their results using written and oral presentation."
"Advanced Econometrics","01","F22",11,20,"Tuesday/Thursday | 10:00 AM - 11:20 AM",361,"ECON",NA,NA,NA,"This course studies the specification, estimation, and testing of econometric models based on the maximum likelihood and method of moments principles. It builds from mathematical statistics and utilizes matrix algebra, the rudiments of which will be introduced in the course. The course will also review applications of econometric models to various areas of micro and macroeconomics."
"Advanced Readings","01","F22",5,0,"Tuesday/Thursday | 2:30 PM - 3:50 PM",441,"LATI",NA,NA,NA,"The authors read in LATI 441 and 442 vary from year to year. Both 441 and 442 may be repeated for credit, provided that the topic is not the same. Three class hours per week. Seminar course."
"African Art & Diaspora","01","F22",5,20,"Monday/Wednesday | 8:30 AM - 9:50 AM",293,"ARHA","BLST",NA,NA,"The course of study will examine those African cultures and their arts that have survived and shaped the aesthetic, philosophic and religious patterns of African descendants in Brazil, Cuba, Haiti and urban centers in North America. We shall explore the modes of transmission of African artistry to the West and examine the significance of the preservation and transformation of artistic forms from the period of slavery to our own day. Through the use of films, slides and objects, we shall explore the depth and diversity of this vital artistic heritage of Afro-Americans."
"African Popular Music","01","F22",30,47,"Tuesday/Thursday | 1:00 PM - 2:20 PM",105,"BLST","MUSI",NA,NA,"This course focuses on twentieth-century African popular music; it examines musical genres from different parts of the continent, investigating their relationships to the historical, political and social dynamics of their respective national and regional origins. Regional examples like highlife, soukous, chimurenga, and afro-beate will be studied to assess the significance of popular music as a creative response to social and political developments in colonial and postcolonial Africa. The course also discusses the growth of hip-hop music in selected countries by exploring how indigenous cultural tropes have provided the basis for its local appropriation. Themes explored in this course include the use of music in the construction of identity; popular music, politics and resistance; the interaction of local and global elements; and the political significance of musical nostalgia."
"Afro-Am Hist Recon-Prsnt","01","F22",18,25,"Tuesday/Thursday | 2:30 PM - 3:50 PM",248,"BLST","HIST",NA,NA,"This course surveys African-American history from Emancipation through the Trump presidency, exploring topics such as Reconstruction, the age of Jim Crow, the Great Migration and Harlem Renaissance, and the Civil Rights and Black Lives Matter movements. Major questions to be addressed include the following: What visions for freedom did African Americans hold in the aftermath of slavery? How have black Americans fought to secure social, economic, and political rights? How has government both supported and subverted black people's efforts to lay claim to citizenship? How have gender and capitalism shaped the lives and labors of black Americans? What have been the afterlives of slavery and segregation in the twentieth and twenty-first centuries, particularly in the areas of voting rights, housing, mass incarceration, policing, and health outcomes? Students will use both primary and secondary sources to investigate how-in the face of numerous challenges-African Americans created vibrant new cultures, accumulated property, built strong communities, and challenged the United States to live up to its founding ideals. Readings include foundational texts in modern African-American history, including writings by Ida B. Wells, W.E.B. Du Bois, Zora Neale Hurston, Richard Wright, Martin Luther King, Jr., and Michelle Obama, among others. Two meetings per week."
"Age, Aging, Ageism","01","F22",15,15,"Tuesday/Thursday | 1:00 PM - 2:20 PM",239,"POSC",NA,NA,NA,"The course investigates the connections between the politics of aging and political discourses surrounding seniors from an intersectional and interdisciplinary perspective. The premise of the course highlights the fact that prejudice, stereotyping, and othering based on age are ""the last acceptable prejudice"" in democratic societies. While there are many international conventions about the rights of children or women, there is little in international law that seeks to protect seniors. Some express frustration at what they perceive as unfairness created through seniority principles, and the disproportionate attention the elderly receive as voters. Others deplore the invisibility and exclusion seniors face in the labor market and society. The class reflects on the ways in which these dynamics overlap and interact with race and racism, gender discrimination, and exclusion of the poor. It considers the sources of empowerment and disempowerment of senior citizens of different racial backgrounds in the US and around the world, in contemporary politics and in historical perspective. It reflects on how age and aging are perceived in different cultures and in connection with different racial and ethnic identities. One of the case studies examines COVID-19 and the condition/agency of seniors during the pandemic around the world. A central question is: what can and should be done to create cross-generational solidarity in democratic societies that are so divided along age lines?"
"Algorithms","01","F22",71,0,"Monday/Wednesday/Friday | 11:00 AM - 11:50 AM",311,"COSC",NA,NA,NA,"This course addresses the design and analysis of computer algorithms. Topics include: set algorithms such as sorting and searching, graph algorithms, string algorithms, and matrix algorithms. Algorithm design paradigms, including the divide-and-conquer, dynamic programming, and greedy paradigms, will be emphasized. The course will end with a discussion of the theory of NP-completeness and its implications."
"An Intro to Economics","01","F22",30,30,"Monday/Wednesday | 8:30 AM - 9:50 AM",111,"ECON",NA,NA,NA,"A study of the central problem of scarcity and of the ways in which the U.S. economic system allocates scarce resources among competing ends and apportions the goods produced among people. Two 80-minute and one 50-minute lecture/discussion per week.Requisite for all other courses in Economics."
"An Intro to Sociology","01","F22",17,18,"Tuesday/Thursday | 10:00 AM - 11:20 AM",112,"SOCI",NA,NA,NA,"The course introduces students to what C. Wright Mills referred to as the ""sociological imagination."" Through accounts both classic and contemporary, students will learn to interrogate in a systematic way both their own lives and the lives of those around them, understanding how they are shaped in significant ways by groups, communities, institutions, and social structures, even as they remain authors of their own actions and determiners of their own fate. In this sense, the dynamics of what sociologists call ""power"" and ""agency"" are woven into every aspect of the course. Inequalities-most notably, race, class, and gender-will figure importantly as we explore important topics such as higher education, gendered expectations of parenting, mass incarceration and structural racism, cultural transformations accompanying neoliberal capitalism, and present-day opportunities for social mobility."
"Animal Behavior","01","F22",2,20,"Monday/Wednesday | 12:30 PM - 1:50 PM",280,"BIOL",NA,NA,NA,"Shaped by millions of years of evolution, animals have evolved myriad abilities to respond to their environment, their potential predators and prey, and members of their own species. This course examines animal behavior from both a mechanistic and a functional perspective. Drawing upon examples from a diverse range of taxa, and using articles from the primary scientific literature, we will discuss topics such as behavioral endocrinology, sexual selection and mating systems, animal communication, and kinship and cooperation. Four classroom hours per week."
"Animal Behavior W/Lab","01","F22",20,16,"Monday/Wednesday | 12:30 PM - 1:50 PM",281,"BIOL",NA,NA,NA,"Shaped by millions of years of evolution, animals have evolved myriad abilities to respond to their environment, their potential predators and prey, and members of their own species. This course examines animal behavior from both a mechanistic and a functional perspective. Drawing upon examples from a diverse range of taxa, and using articles from the primary scientific literature, we will discuss topics such as behavioral endocrinology, sexual selection and mating systems, animal communication, and kinship and cooperation. Four classroom hours and three laboratory hours per week; the laboratory projects will require additional time outside of class.
  In Fall 2022, the laboratory will be structured as a course-based undergraduate research experience (CURE).  The focus will be a semester-long, field-based project on bird behavior in the Wildlife Sanctuary.  Students will be outdoors in the Sanctuary under almost all weather conditions.  Students can register for either laboratory section, both of which will be held at low enrollments to facilitate field research."
