CIPCODE,Award,Major,Gender,Non Resident Alien,Hispanic / Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more Races,Race/ ethnicity unknown,Total,distance education program
3.0103,5 - Bachelor's degree,1,Men,0,2,0,1,0,0,2,0,0,5,
Environmental Studies,,,,,,,,,,,,,,
Women,0,0,0,1,1,0,3,0,1,6,,,,
Total,0,2,0,2,1,0,5,0,1,11,No,,,
3.0103,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,2,1,0,3,
Environmental Studies,,,,,,,,,,,,,,
Women,0,0,0,2,0,0,2,0,0,4,,,,
Total,0,0,0,2,0,0,4,1,0,7,No,,,
4.0801,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Architectural History and Criticism, General",,,,,,,,,,,,,,
Women,2,0,0,2,0,0,0,0,0,4,,,,
Total,2,0,0,2,0,0,0,0,0,4,No,,,
4.0801,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Architectural History and Criticism, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0102,5 - Bachelor's degree,1,Men,0,0,0,0,1,0,1,0,0,2,
American/United States Studies/Civilization,,,,,,,,,,,,,,
Women,0,1,0,1,1,0,0,0,0,3,,,,
Total,0,1,0,1,2,0,1,0,0,5,No,,,
5.0102,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
American/United States Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0103,5 - Bachelor's degree,1,Men,2,0,1,1,0,0,3,1,0,8,
Asian Studies/Civilization,,,,,,,,,,,,,,
Women,1,1,0,4,0,0,1,1,1,9,,,,
Total,3,1,1,5,0,0,4,2,1,17,No,,,
5.0103,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Asian Studies/Civilization,,,,,,,,,,,,,,
Women,0,1,0,0,0,0,0,0,0,1,,,,
Total,0,1,0,0,0,0,0,0,0,1,No,,,
5.0106,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
European Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0106,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
European Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
5.0201,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,1,0,0,2,
African-American/Black Studies,,,,,,,,,,,,,,
Women,1,1,0,0,6,0,0,0,0,8,,,,
Total,2,1,0,0,6,0,1,0,0,10,No,,,
5.0201,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
African-American/Black Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0203,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies",,,,,,,,,,,,,,
Women,0,3,0,0,0,0,0,0,0,3,,,,
Total,0,3,0,0,0,0,0,0,0,3,No,,,
5.0203,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0207,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Women's Studies,,,,,,,,,,,,,,
Women,0,0,0,1,2,0,0,0,0,3,,,,
Total,0,0,0,1,2,0,0,0,0,3,No,,,
5.0207,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Women's Studies,,,,,,,,,,,,,,
Women,1,1,0,0,1,0,1,0,1,5,,,,
Total,1,1,0,0,1,0,1,0,1,5,No,,,
11.0701,5 - Bachelor's degree,1,Men,7,1,0,2,0,0,8,0,3,21,
Computer Science,,,,,,,,,,,,,,
Women,1,0,0,2,0,1,0,0,0,4,,,,
Total,8,1,0,4,0,1,8,0,3,25,No,,,
11.0701,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
Computer Science,,,,,,,,,,,,,,
Women,0,1,0,2,0,0,1,0,0,4,,,,
Total,0,1,0,2,0,0,2,0,0,5,No,,,
16.0402,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Russian Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
16.0402,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,1,1,
Russian Language and Literature,,,,,,,,,,,,,,
Women,1,0,0,0,0,0,0,0,0,1,,,,
Total,1,0,0,0,0,0,0,0,1,2,No,,,
16.0501,5 - Bachelor's degree,1,Men,0,2,0,0,0,0,0,0,0,2,
German Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,2,0,0,0,0,0,0,0,2,No,,,
16.0501,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
German Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
16.0901,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,2,0,0,3,
French Language and Literature,,,,,,,,,,,,,,
Women,0,2,0,2,3,0,3,0,1,11,,,,
Total,1,2,0,2,3,0,5,0,1,14,No,,,
16.0901,5 - Bachelor's degree,2,Men,1,0,0,0,0,0,2,0,0,3,
French Language and Literature,,,,,,,,,,,,,,
Women,1,0,0,3,0,0,3,0,1,8,,,,
Total,2,0,0,3,0,0,5,0,1,11,No,,,
16.0905,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,2,0,0,2,
Spanish Language and Literature,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,2,0,0,2,No,,,
16.0905,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,2,0,0,2,
Spanish Language and Literature,,,,,,,,,,,,,,
Women,0,3,0,0,0,0,3,0,0,6,,,,
Total,0,3,0,0,0,0,5,0,0,8,No,,,
16.12,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,1,1,0,2,
"Classics and Classical Languages, Literatures, and Linguistics, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,1,0,1,,,,
Total,0,0,0,0,0,0,1,2,0,3,No,,,
16.12,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
