CIPCODE,Award,Major,Gender,Non Resident Alien,Hispanic / Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more Races,Race/ ethnicity unknown,Total,
3.0103,5 - Bachelor's degree,1,Men,0,1,0,1,3,0,2,0,0,7,
Environmental Studies,,,,,,,,,,,,,,
Women,0,6,0,2,1,0,6,1,1,17,,,,
Total,0,7,0,3,4,0,8,1,1,24,No,,,
3.0103,5 - Bachelor's degree,2,Men,0,1,0,0,0,0,2,0,0,3,
Environmental Studies,,,,,,,,,,,,,,
Women,0,1,0,0,0,0,2,0,0,3,,,,
Total,0,2,0,0,0,0,4,0,0,6,No,,,
4.0801,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,1,1,
"Architectural History and Criticism, General",,,,,,,,,,,,,,
Women,0,0,0,0,1,0,1,0,0,2,,,,
Total,0,0,0,0,1,0,1,0,1,3,No,,,
4.0801,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
"Architectural History and Criticism, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0102,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
American/United States Studies/Civilization,,,,,,,,,,,,,,
Women,0,2,0,2,0,0,3,0,0,7,,,,
Total,0,2,0,2,0,0,3,0,0,7,No,,,
5.0102,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
American/United States Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0103,5 - Bachelor's degree,1,Men,1,0,0,0,0,0,2,0,0,3,
Asian Studies/Civilization,,,,,,,,,,,,,,
Women,1,1,0,2,0,0,0,1,0,5,,,,
Total,2,1,0,2,0,0,2,1,0,8,No,,,
5.0103,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Asian Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,0,0,0,1,0,0,0,0,0,1,No,,,
5.0106,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
European Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0106,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
European Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0201,5 - Bachelor's degree,1,Men,1,1,0,0,3,0,0,0,1,6,
African-American/Black Studies,,,,,,,,,,,,,,
Women,0,0,0,0,4,0,0,1,0,5,,,,
