CIP Code,Award Level,Major,Gender,Non Resident Alien,Hispanic / Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more Races,Race/ ethnicity unknown,Total,m
3.0103,5 - Bachelor's degree,1,Men,0,1,0,0,1,0,0,0,0,2,
Environmental Studies,,,,,,,,,,,,,,
Women,0,0,0,1,1,0,1,0,0,3,,,,
Total,0,1,0,1,2,0,1,0,0,5,No,,,
3.0103,5 - Bachelor's degree,2,Men,0,1,0,0,0,0,0,0,0,1,
Environmental Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,2,1,0,3,,,,
Total,0,1,0,0,0,0,2,1,0,4,No,,,
4.0801,5 - Bachelor's degree,1,Men,0,1,0,0,0,0,0,0,0,1,
"Architectural History and Criticism, General",,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,1,0,0,0,0,1,0,0,2,No,,,
5.0102,5 - Bachelor's degree,1,Men,0,2,0,0,0,0,3,0,0,5,
American/United States Studies/Civilization,,,,,,,,,,,,,,
Women,0,2,0,2,0,0,1,0,1,6,,,,
Total,0,4,0,2,0,0,4,0,1,11,No,,,
5.0103,5 - Bachelor's degree,1,Men,0,0,0,0,1,0,0,0,0,1,
Asian Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,0,4,1,0,2,2,0,9,,,,
Total,0,0,0,4,2,0,2,2,0,10,No,,,
5.0107,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Latin American Studies,,,,,,,,,,,,,,
Women,1,2,0,0,0,0,0,0,0,3,,,,
Total,1,2,0,0,0,0,0,0,0,3,No,,,
5.0107,5 - Bachelor's degree,2,Men,0,2,0,0,0,0,0,0,0,2,
Latin American Studies,,,,,,,,,,,,,,
Women,0,2,0,0,0,0,0,0,0,2,,,,
Total,0,4,0,0,0,0,0,0,0,4,No,,,
5.0201,5 - Bachelor's degree,1,Men,0,2,0,0,1,0,1,1,0,5,
African-American/Black Studies,,,,,,,,,,,,,,
Women,0,2,0,0,4,0,0,0,0,6,,,,
Total,0,4,0,0,5,0,1,1,0,11,No,,,
5.0207,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Women's Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0207,5 - Bachelor's degree,2,Men,0,0,0,1,0,0,0,0,0,1,
Women's Studies,,,,,,,,,,,,,,
Women,1,1,0,0,1,0,4,1,0,8,,,,
Total,1,1,0,1,1,0,4,1,0,9,No,,,
