CIP Code,Award Level,Major,Gender,U.S. Nonresident,Hispanic / Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more Races,Race/ ethnicity unknown,Total,
3.0103,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,2,2,0,4,
Environmental Studies,,,,,,,,,,,,,,
Women,0,0,0,0,1,0,4,3,0,8,,,,
Total,0,0,0,0,1,0,6,5,0,12,No,,,
3.0103,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,1,0,0,1,
Environmental Studies,,,,,,,,,,,,,,
Women,1,0,0,0,0,0,2,0,0,3,,,,
Total,1,0,0,0,0,0,3,0,0,4,No,,,
4.0801,5 - Bachelor's degree,1,Men,1,1,0,0,0,0,2,0,0,4,
"Architectural History and Criticism, General",,,,,,,,,,,,,,
Women,1,0,0,0,0,0,1,0,0,2,,,,
Total,2,1,0,0,0,0,3,0,0,6,No,,,
5.0102,5 - Bachelor's degree,1,Men,0,1,0,0,0,0,2,1,0,4,
American/United States Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,3,2,0,0,2,1,0,8,,,,
Total,0,1,3,2,0,0,4,2,0,12,No,,,
5.0103,5 - Bachelor's degree,1,Men,0,0,0,1,0,0,0,1,0,2,
Asian Studies/Civilization,,,,,,,,,,,,,,
Women,1,2,0,4,0,0,1,3,1,12,,,,
Total,1,2,0,5,0,0,1,4,1,14,No,,,
5.0103,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Asian Studies/Civilization,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,0,0,0,0,0,0,0,0,0,No,,,
5.0107,5 - Bachelor's degree,1,Men,0,1,0,0,0,0,0,0,0,1,
Latin American Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,0,0,0,0,,,,
Total,0,1,0,0,0,0,0,0,0,1,No,,,
5.0201,5 - Bachelor's degree,1,Men,0,1,0,0,2,0,1,1,0,5,
African-American/Black Studies,,,,,,,,,,,,,,
Women,1,1,0,0,1,0,0,3,0,6,,,,
Total,1,2,0,0,3,0,1,4,0,11,No,,,
5.0207,5 - Bachelor's degree,1,Men,0,0,0,0,0,0,0,0,0,0,
Women's Studies,,,,,,,,,,,,,,
Women,0,0,0,0,0,0,1,0,0,1,,,,
Total,0,0,0,0,0,0,1,0,0,1,No,,,
5.0207,5 - Bachelor's degree,2,Men,0,0,0,0,0,0,0,0,0,0,
Women's Studies,,,,,,,,,,,,,,
Women,0,1,0,1,1,0,1,1,0,5,,,,
Total,0,1,0,1,1,0,1,1,0,5,No,,,
11.0701,5 - Bachelor's degree,1,Men,8,3,0,9,1,0,17,3,0,41,
Computer Science,,,,,,,,,,,,,,
Women,2,0,0,4,2,0,1,2,0,11,,,,
Total,10,3,0,13,3,0,18,5,0,52,No,,,
11.0701,5 - Bachelor's degree,2,Men,0,0,0,0,1,0,1,0,0,2,
Computer Science,,,,,,,,,,,,,,
Women,0,0,0,1,0,0,0,0,0,1,,,,
Total,0,0,0,1,1,0,1,0,0,3,No,,,
